company,address,report publication year,internal manufacturing site
Daishinku Corporation (Kds),"7-3-21 Wakabadai-Minami Tottori, Tottori Japan",2013,TRUE
Daishinku Corporation (Kds),"Block O-20, O-21 Kawasan Berikat MM2100 Industrial Town Chikaran Barat,Bekasi Jawa Barat, Jakarta Indonesia",2013,TRUE
Daishinku Corporation (Kds),"No. 8 Fuyuan Road Wuqing Development Zone Tianjin, China",2013,TRUE
Darfon Electronic Corp.,"21 Industry 2nd Road Tainan, Taiwan",2013,TRUE
Darfon Electronic Corp.,"99 Zhu Yuan Road, New District Suzhou, Jiangsu China",2013,TRUE
Darfon Electronic Corp.,"No. 8, The Sixth Industrial District, Xiacun Village, Gongming Town, Baoan District Shenzhen, Guangdong China",2013,TRUE
Delta Electronics Inc.,"2 R&D 2nd Road, Science-Based Industrial Park Hsinchu, Taiwan",2013,TRUE
Delta Electronics Inc.,"No. 1688, Jiangxing East Road, Wujiang Eco and Tech Development Zone Wujiang, Jiangsu China",2013,TRUE
Delta Electronics Inc.,"Chen Zhou Export Processing Zone, Bai Lu Tang Town, Su Xian District Chenzhou, Hunan China",2013,TRUE
Delta Electronics Inc.,"Delta Plant 2, Delta Industrial Estate, Shijie Town 523308 Dongguan, Guangdong China",2013,TRUE
Delta Electronics Inc.,"No. 168, No. 15 Coastal Way,Tianjin Port Free Trade Zone Tianjin, China",2013,TRUE
Delta Electronics Inc.,"No. 168 Kat City Road, Wujiang Yun Dong Economic Development Zone, Song Ling Town Wujiang, Jiangsu China",2013,TRUE
Delta Electronics Inc.,"No. 1688 Jiang Xing East Road, Economy Development Zone Wujiang, Jiangsu China",2013,TRUE
Delta Electronics Inc.,"No. 688 Xiuhu West Road, Wujiang Yun Dong Economic Development Zone, Song Ling Town Wujiang, Jiangsu China",2013,TRUE
Delta Electronics Inc.,"Wellgrow Industrial Estate, 111 Moo 9, Soi 11, Bangna-Trad Road, Tambol Bangwua Bang Pakong, Chachoengsao Thailand",2013,TRUE
Deufol Sunman,"924 South Meridian Street Sunman, Indiana USA",2013,TRUE
"Diodes, Inc.","777 N.W. Blue Parkway, Suite 350Lees Summit, Missouri USA",2013,TRUE
"Diodes, Inc.","No. 999 Chenchun Road, Xinqiao Town Shanghai, China",2013,TRUE
"Diodes, Inc.","Waldweg 7 Neuhaus am Rennweg, Thuringia Germany",2013,TRUE
"Diodes, Inc.","Zetex Technology Park Chadderton, Oldham United Kingdom",2013,TRUE
Dover Corporation,"379 Middle Suhong Road, Suzhou Industrial Park, Suzhou, Jiangsu China",2013,TRUE
Dover Corporation,"No. 20 Tongji South Road, Beijing Economic-Technological Development Area, Beijing, China",2013,TRUE
DSM,"No. 18 Pan Long Shan Road Jiangyin, Jiangsu China",2013,TRUE
DSM,"Poststraat 1, 6135 KRSittard, Netherlands",2013,TRUE
Dynacast International Inc.,"No. 88 Qiufu Road District,Fumin Industrial Park 2, Dalang Dongguan, Guang Dong China",2013,TRUE
Dynacast International Inc.,"No. 6 Second Chin Bee Road, Singapore",2013,TRUE
"Dynamic Electronics Co., Ltd.","No. 1688, Jinshajiang North Road,Kunshan, Jiangsu China",2013,TRUE
"Dynamic Electronics Co., Ltd.","No. 356, Shaning Road, Gueishan,Taoyuan, Taiwan",2013,TRUE
Dynapack International Technology,"No. 8 Hua-Gang Road, Wujiang Economic and Technological Development Zone Suzhou, Jiangsu China",2013,TRUE
"E-Litecom Co, Ltd.","1st Standard Workshop, 117th Meiyu Road, Wuxi New District.Wuxi, Jiangsu China",2013,TRUE
"Elpida Memory, Inc. ","7-10, Yoshikawa Kogyo Danchi,Higashi Hiroshima-shi Higashi, Hiroshima Japan",2013,TRUE
"Elpida Memory, Inc. ","89-2, Yamada, Yuwaishida, Akita-shi, Akita Japan",2013,TRUE
"Elpida Memory, Inc. ","No. 429-1 Sanfong Road, Houli District Central Taiwan Science Park Taichung, Taiwan",2013,TRUE
Emerson Electric Co.,"1st Building Emerson Industrial Park Feng Tang Road Fuyong, Baoan District Shenzhen, Guangdong China",2013,TRUE
Emerson Electric Co.,"Main Avenue Corner Road J, PEZA Complex Rosario, Cavite Philippines",2013,TRUE
Emerson Electric Co.,"No. 68 Baocheng Road East, Fucheng Town Luo Ding City, China",2013,TRUE
Fairchild Semiconductor International,"1 Sutong Road, China-Singapore Suzhou Industrial Park Suzhou, Jiangsu China",2013,TRUE
Fairchild Semiconductor International,"333 Western Avenue South Portland, Maine USA",2013,TRUE
Fairchild Semiconductor International,"3333 West 9000 South West Jordan, Utah USA",2013,TRUE
Fairchild Semiconductor International,"420-711 82-3, Dodang-Dong, Wonmi-District Bucheon City, Gyeonggi- do South Korea",2013,TRUE
Fairchild Semiconductor International,"Bayan Lepas Free Industrial Zone Penang, Malaysia",2013,TRUE
